Name,summary,authors,categories,feedback link,id,status,tags
Power Utility Recommendation System,Recommend ancillary products of a power utility company,Sparsh A.,Story,https://github.com/recohut/reco-step/issues,power-utility-recommender,Published,
StoryCafe Series Part 1,"We are going to discuss stories that are not directly related to recommender systems but using machine learning and deep learning techniques to build and serve useful applications in the real world. ",Sparsh A.,Story,https://github.com/recohut/reco-step/issues,storycafe-series-part-1,Published,storycafe
StoryCafe Series Part 2,"We are going to discuss stories that are not directly related to recommender systems but using machine learning and deep learning techniques to build and serve useful applications in the real world. ",Sparsh A.,Story,https://github.com/recohut/reco-step/issues,storycafe-series-part-2,Published,storycafe
CI/CD with Docker compose and EKS,We will first convert our ML app into docker image and register it on AWS ECR (elastic container registry). Then we will use Amazon Elastic Kubernetes Service (Amazon EKS) to deploy the app as a docker container.,Sparsh A.,Tutorial,https://github.com/recohut/reco-step/issues,cicd-docker-eks,Published,"aws, cicd, docker"
How to set up and run Jenkins,Jenkins is a specialised tool that is designed to provide software teams from all sorts of backgrounds with the necessary capabilities to build and refine their source code in the best possible way.,Sparsh A.,Tutorial,https://github.com/recohut/reco-step/issues,how-to-setup-jenkins,Published,cicd
Wellness tracker chatbot,"A bot that logs daily wellness data to a spreadsheet (using the Airtable API), to help the user keep track of their health goals. Connect the assistant to a messaging channel—Twilio—so users can talk to the assistant via text message and Whatsapp.",Sparsh A.,Tutorial,https://github.com/recohut/reco-step/issues,wellness-tracker-chatbot,Published,bot
How to build an image similarity system,"Recommending visually similar products is an important task in today's E-commerce recommender systems. In this tutorial, we will learn how to achieve this task using the latest tools and techniques.",Sparsh A.,Tutorial,https://github.com/recohut/reco-step/issues,image-similarity-system,Published,vision
How to build a product recommender,We will build a simple recommender system using co-occurence concept and then save the outputs in an AWS S3 bucket in JSON format.,https://towardsdatascience.com/similar-product-recommendations-data-to-deployment-970a085bafce,Tutorial,https://github.com/recohut/reco-step/issues,product-recommender-s3-postgres,Published,
Simple Similarity Recommender,"In this tutorial, we will build a simple recommenders using different similarity methods.",https://deepnote.com/@fadelights/Foundation-of-Combinatorics-Project-nmC-ilUtQqqz403906un9Q,Tutorial,https://github.com/recohut/reco-step/issues,simple-similarity-recommender,Published,
Offline Reinforcement Learning with Replay,Replay evaluation essentially takes historic events and algorithm’s recommendations at each time step and throws out all samples except for those where your model’s recommendation is the same as the one the user saw in the historic dataset.,Sparsh A.,Tutorial,https://github.com/recohut/reco-step/issues,offline-reinforcement-with-replay,Published,
Product Recommendation with Olist Dataset,"In this tutorial, we are going to learn different approaches for Recommendation system that can built on Brazilian e-commerce public dataset.",Dr. Monica,Tutorial,https://github.com/recohut/reco-step/issues,product-recommender-olist-dataset,Published,
OCR in python,We will learn different ways to perform optical character recognition tasks in python using open-source libraries.,Sparsh A.,Tutorial,https://github.com/recohut/reco-step/issues,ocr-in-python,Published,
Feature Engineering for Recommenders,"Beginner to intermediate users are the target audience, which should have prior knowledge in python programming using libraries, such as pandas and NumPy. In addition, they should have a basic understanding of recommender systems, decision trees and feed forward neural networks.",Sparsh A.,Tutorial,https://github.com/recohut/reco-step/issues,feature-engineering-recsys20-guide,Published,
